Haralick1,Haralick2,Haralick3,Haralick4,Haralick5,Haralick6,Haralick7,Haralick8,Haralick9,Haralick10,Haralick11,Haralick12,Haralick13,Class
0.002326029,2.451552569,0.999319152,1800.681926,0.594144846,285.1923837,7200.276153,7.982831074,9.511557388,0.001335195,1.91245583,-0.638735867,0.999927347,0
0.004856116,2.259790741,0.999702581,3799.547931,0.64649834,333.6016666,15195.93193,8.03566979,9.300460939,0.001410712,1.869988798,-0.687552248,0.999968672,0
0.001096194,25.65464156,0.993927372,2112.738248,0.388566989,254.5105057,8425.298352,8.089934799,10.76375475,0.00082607,3.044925429,-0.484992991,0.999438225,0
0.002120991,6.80970985,0.99752029,1373.175058,0.549915004,217.0697648,5485.890524,7.895938316,9.793011263,0.001378925,2.252166199,-0.581414852,0.999818213,0
0.000722482,23.5370712,0.995774137,2785.895217,0.32871973,255.6810872,11120.0438,8.439176745,11.40151527,0.000548665,3.226956306,-0.470256261,0.999492707,0
0.002643149,2.884230424,0.99877707,1179.715902,0.600752021,285.5615954,4715.979379,7.91101922,9.432017234,0.001528768,1.931205469,-0.636505616,0.999916996,0
0.001324844,13.79979053,0.995503539,1534.536119,0.42306555,253.0652644,6124.344684,7.944319222,10.40655086,0.000775169,2.727827307,-0.502836566,0.999497308,0
0.000443409,33.96731458,0.994664631,3183.113019,0.321513014,267.3299153,12698.48476,8.6650677,11.74957056,0.000542611,3.296333423,-0.468439625,0.999586489,0
0.002217035,2.35992099,0.999414919,2016.775919,0.631188953,265.4161191,8064.743756,8.251257849,9.618474617,0.001333587,1.827339156,-0.675879203,0.999970653,0
0.000554683,17.48361046,0.996526823,2517.088297,0.323368103,242.7035257,10050.86958,8.506660264,11.39624289,0.000643148,3.135540646,-0.483432133,0.999625602,0
0.001205789,11.85677485,0.993881299,969.1399801,0.374702119,131.3983202,3864.703146,7.719891543,10.32977854,0.001145986,2.913368414,-0.466004613,0.998988782,0
0.00090245,4.87975141,0.999121164,2776.218432,0.44897842,198.7705963,11099.99398,8.492767244,10.59946469,0.001065101,2.33959534,-0.586490575,0.999918534,0
0.000927251,12.14267842,0.997672697,2610.195415,0.38604487,339.3562431,10428.63898,8.280083622,10.86728306,0.000701744,2.827861288,-0.508488887,0.999667918,0
0.000775649,27.89339642,0.993974231,2314.785889,0.308622041,336.0860243,9231.250161,8.230207855,11.34797258,0.000511133,3.330825727,-0.432326241,0.99895803,0
